,x0,xs,a,y0,ys,b
0,3241.9190035913634,7377.944328898903,2.933979783133682,174927.5911163038,0.09867411863180045,3.8877941556172546
1,3221.0979803045007,8255.480434289628,2.4443264512702623,361639.2949867022,0.10357913579959349,3.0462141016941136
2,2798.070225014244,7160.889997997568,2.4925074622530223,112615.01815796884,0.12584030708687724,3.1211242929299305
3,2669.0130210745615,6567.9207831921885,4.442919665275662,48432.56372602277,0.10313439650522034,4.106832995488945
4,3119.711749730058,4608.515735491454,2.5046658209649637,29103.6931715844,0.08235121324194936,2.7014745942320966
5,2759.4268269096183,5457.444948349117,3.9129518085804698,101075.78911032331,0.11484320925552222,2.472053203914704
6,2968.0755691702375,4100.5373319013415,4.909573204766984,75356.9634287753,0.10995234238069967,3.99244016036179
7,2755.8530574592073,4681.34118090482,3.2655863219339087,21263.764589950486,0.08698859196956191,1.8417576065749262
8,3000.8534759032254,7385.056255577561,4.352540118382949,201501.11765957263,0.0957078441564442,2.36399190469103
9,2179.5242851436146,6818.777689329874,2.45064167498139,16789.437833135777,0.11617934685892234,4.608140928470812
10,2841.924326417133,5271.063498730871,3.424316554538984,781332.9749965465,0.10917662857384199,2.004056260222908
11,2844.174510782096,7195.044181983458,1.0,529367.8707946544,2.2830702937404683,1.668336879792481
12,2423.1062072703417,6431.2886651265035,2.868823658688837,101913.35921018301,4.4832768878412885,1.0550195581611608
13,3970.2250340345645,4381.90255517144,2.9297343379172425,49795.06012939482,4.53702912630382,4.0361920988075735
14,2295.381103027232,4177.428148266403,4.137805983416973,31744.012091659988,3.6728784561593373,2.36629991432411
15,2586.6130564256464,6254.379358044173,3.5860236190564647,317660.90294408775,2.918274939781295,3.0519344495164296
16,3301.0553591683442,4490.4338771120365,2.6438513042032374,2305237.016348386,1.7367270600147031,2.503490508383951
17,2863.6503280145835,7015.539263524854,3.2120112678822905,100323.71113774246,5.605709345313672,2.236237219708361
18,3508.4966586555183,4899.696826323789,3.734337291665887,81409.91491300108,3.050942618034432,1.1862188934293199
19,2813.8908987960476,6236.503146517888,4.396167383224196,51696.36729200264,0.928401245849401,1.2812706313196331
20,3167.9493162318386,6549.836894520914,4.049817898097388,32480.323743599853,7.133191414328523,2.36805077538189
21,2974.108290568126,4265.4826504018365,2.427439544269159,106834.77392130994,1.1624509869356308,2.2458330478636803
